"Какая ставка на новое жильё?", 0
"Какая ставка на новую квартиру?", 0
"Подскажи ставку на новое жилье", 0
"Подскажи ставку на новую квартиру", 0
"Новое жилье, ставка", 0
"Новая квартира, ставка", 0
"Пожалуйста, скажи ставку на новое жилье", 0
"Какой первичный взнос на новое жилье", 1
"Скажи взнос за новое жильё",1
"Новое жилье, взнос", 1
"новостройка, взнос",1
"Новая квартира, взнос", 1
"Какой взнос за новую квартиру",1
"Пожалуйста, подскажи взнос первичный за новое жилье",1
"Пожалуйста, подскажи взнос первичный за новое жильё",1
"Пожалуйста, подскажи первичный взнос за новое жилье",1
"Скажи ставку на вторичное жилье", 2
"Какая ставка на вторичное жильё?", 2
"Подскажи ставку на вторичку", 2
"Подскажи ставку на б/у жильё", 2
"вторичное жилье, ставка", 2
"Пожалуйста, скажи ставку на б/у жилье", 2
"Скажи размер первичного взноса на вторичное жилье", 3
"Вторичка, взнос", 3
"Какой взнос за бу квартиру",3
"Пожалуйста, подскажи взнос первичный за вторичку",3
"Пожалуйста, подскажи взнос первичный за бу жильё",3
"Пожалуйста, подскажи первичный взнос за б/у жилье",3
"Ставка и взнос за новое жильё", 4
"Ставка и взнос за новое жилье", 4
"Ставка и взнос за новую квартиру", 4
"Подскажи ставку и взнос за новую квартиру", 4
"Ставка и взнос за вторичное жильё", 5
"Ставка и взнос за вторичное жилье", 5
"Ставка и взнос за бу квартиру", 5
"Ставка и взнос за б\у квартиру", 5
"Ставка и взнос за б/у квартиру", 5
"Ставка и взнос за вторичку", 5
"Расскажи про семейную ипотеку", 6
"Семейная ипотека", 6
"информация про семейную ипотеку", 6
"Ипотека если есть ребенок", 6
"ипотека с ребёнком", 6
"Есть ребенок инвалид", 6
"Расскажи про ипотеку с господдержкой", 7
"Ипотека с господдержкой, информация", 7
"поддержка государства", 7
"Помощь государства", 7
"Госсподержка ипотека", 7
"Расскажи про ипотеку для it", 8
"Ипотека для разработчиков", 8
"Программист ипотека", 8
"Ипотека для программистов", 8
"Ипотека для разработчиков", 8
"Расскажи про ипотеку по двум документам", 9
"Ипотека по двум документам", 9
"только два документа", 9
"Паспорт и военный билет", 9
"Ипотека без поддтверждения доходов", 9
"Паспорт и загранпаспорт ипотека", 9
"Расскажи про дальневосточную ипотеку", 10
"Дальневосточная ипотека", 10
"дальневосточный федеральный округ ипотека", 10
"Дальний восток ипотека", 10
"Ипотека на дальнем востоке", 10
"Ипотека в дальневосточном округе", 10
"Расскажи про молодежную ипотеку", 11
"Ипотека с 18 лет", 11
"молодежная ипотека", 11
"для молодых ипотека", 11
"ипотека для восемнадцатилетних", 11
"Расскажи про военную ипотеку", 12
"Военная ипотека", 12
"ипотека для военных", 12
"ипотека военнослужащим", 12
"военная ипотека", 12